route_id,agency_id,route_short_name,route_long_name,route_type
routes:L586,0,L586,Gent-Sint-Pieters - Brugge,2
routes:L590,0,L590,Gent-Sint-Pieters - Brugge,2
routes:L592,0,L592,Gent-Sint-Pieters - Brugge,2
routes:L1557,0,L1557,Denderleeuw - Schaarbeek,2
routes:L1565,0,L1565,Denderleeuw - Schaarbeek,2
routes:L1567,0,L1567,Denderleeuw - Schaarbeek,2
routes:L1571,0,L1571,Denderleeuw - Geraardsbergen,2
routes:L1578,0,L1578,Geraardsbergen - Denderleeuw,2
routes:L1580,0,L1580,Schaarbeek - Denderleeuw,2
routes:L1582,0,L1582,Schaarbeek - Denderleeuw,2
routes:L1584,0,L1584,Schaarbeek - Denderleeuw,2
routes:L1586,0,L1586,Schaarbeek - Denderleeuw,2
routes:L1588,0,L1588,Schaarbeek - Denderleeuw,2
routes:L1590,0,L1590,Schaarbeek - Denderleeuw,2
routes:L1592,0,L1592,Schaarbeek - Geraardsbergen,2
routes:L1776,0,L1776,Antwerpen-Centraal - Brussel-Zuid,2
